Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
32015402,EEI de Santa Cruz,Santa Cruz da rabeda (Santa Cruz),San Cibrao das Viñas,Ourense,32911,639179024,EEI,42.28858947753906,-7.797842979431152,Pública,Non,Si
32015426,EEI de Taboadela,Taboadela (San Miguel),Taboadela,Ourense,32690,988436785,EEI,42.2421760559082,-7.825934886932373,Pública,Non,Si
32015463,CEE Miño,Rúa Juan Fernández de Gres 13,Ourense,Ourense,32960,988238550,CEE,42.36457824707031,-7.84602689743042,Pública,Non,Si
32015475,IES O Ribeiro,Rúa Hermanos Álvarez Araujo 5,Ribadavia,Ourense,32400,988788460,IES,42.29929733276367,-8.1283540725708,Pública,Non,Si
32015529,CEE O Pino,"Estrada de Vigo, 121 (Casar do Mato)",Ourense,Ourense,32001,988783040,CEE,42.355350494384766,-7.891294956207275,Pública,Non,Si
32015530,CPR San Martín,Avenida de Marín 23-25,Ourense,Ourense,32001,988221990,CPR,42.3197135925293,-7.862107276916504,Privada,Si,Non
32015581,EPAPU de Ourense,Rúa Alvarez de Sotomayor 4,Ourense,Ourense,32002,988243834,EPAPU,42.338462829589844,-7.873163223266602,Pública,Non,Si
32015657,CEIP de Medeiros,Estrada San Cristovo s/n,Monterrei,Ourense,32618,988421604,CEIP,41.903045654296875,-7.546789169311523,Pública,Non,Si
32015669,CEIP Mestre Vide,Paseo Maestro Vide 4,Ourense,Ourense,32004,988238551,CEIP,42.34394454956055,-7.860763549804688,Pública,Non,Si
32015682,CEIP Plurilingüe Raúl Fernández,Rúa Toural 5,Castrelo do Val,Ourense,32625,988419008,CEIP,41.98817443847656,-7.421597480773926,Pública,Non,Si
32015797,CEIP Plurilingüe Amaro Refojo,Avenida Hermanos Fernandez Alvarez 1,Verín,Ourense,32600,988411425,CEIP,41.9412956237793,-7.435029983520508,Pública,Non,Si
32015876,IES Xermán Ancochea Quevedo,Avenida XERMAN ANCOCHEA s/n,A Pobra de Trives,Ourense,32780,988330302,IES,42.33562088012695,-7.255997657775879,Pública,Non,Si
32015891,CEIP San Salvador,A Ponte,A Arnoia,Ourense,32233,674982098,CEIP,42.25019454956055,-8.138235092163086,Pública,Non,Si
32015906,CEIP Pena Corneira,Rúa CALELLA DO QUINTO,Carballeda de Avia,Ourense,32413,988487030,CEIP,42.31760787963867,-8.1646089553833,Pública,Non,Si
32015918,CEIP Carmen García Carrasco,Cenlle (Santa María),Cenlle,Ourense,32454,988404056,CEIP,42.346168518066406,-8.086956024169922,Pública,Non,Si
