Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
15016221,EEI do Rial,O Rial,Santiago de Compostela,A Coruña,15896,981524165,EEI,42.86636734008789,-8.589598655700684,Pública,Non,Si
15016267,EEI Bispo Teodomiro,Marrozos (Santa María),Santiago de Compostela,A Coruña,15700,981539897,EEI,42.83583068847656,-8.512470245361328,Pública,Non,Si
15016292,CEIP Plurilingüe Mestre Rodríguez Xixirei,Sabugueira (San Paio),Santiago de Compostela,A Coruña,15820,881866470,CEIP,42.90172576904297,-8.440669059753418,Pública,Non,Si
15016449,CPR Juniors,Silvouta - Roxos,Santiago de Compostela,A Coruña,15896,981537306,CPR,42.870941162109375,-8.60197925567627,Privada,Non,Non
15016450,CEIP de Arcediago,A Ponte Arcediago (San Xoán),Santiso,A Coruña,15808,981517827,CEIP,42.8450813293457,-8.039267539978027,Pública,Non,Si
15016784,CEIP Plurilingüe Virxe do Portal,A Porta (San Pedro),Sobrado,A Coruña,15312,881880995,CEIP,43.039188385009766,-8.026902198791504,Pública,Non,Si
15017041,CEIP A Igrexa-Calo,Lugar Fixó 14,Teo,A Coruña,15866,881866483,CEIP,42.82712173461914,-8.594954490661621,Pública,Non,Si
15017107,CEIP Plurilingüe da Ramallosa,A Ramallosa,Teo,A Coruña,15883,881866491,CEIP,42.79776382446289,-8.548201560974121,Pública,Non,Si
15017314,CEIP Plurilingüe de Toques,A Capela (Santa María),Toques,A Coruña,15806,881960400,CEIP,42.96823501586914,-7.97346305847168,Pública,Non,Si
15017880,CPI Plurilingüe de Fonte-Díaz,Rúa Isabel II s/n,Touro,A Coruña,15822,881867840,CPI,42.867149353027344,-8.302833557128906,Pública,Non,Si
15018148,CPI de Atios,Avenida SAN SADURNIÑO 33,Valdoviño,A Coruña,15552,881938107,CPI,43.61219024658203,-8.136974334716797,Pública,Non,Si
15018203,CPI de Bembibre,Rúa Socortes 18,Val do Dubra,A Coruña,15873,881866981,CPI,43.0250129699707,-8.662055015563965,Pública,Non,Si
15018343,CEIP Plurilingüe Xacinto Amigo Lera,Rúa Entrepontes s/n,Val do Dubra,A Coruña,15871,881866990,CEIP,42.96212387084961,-8.6516695022583,Pública,Non,Si
15018471,CEIP Ortigueira,Lugar Ortigueira 2,Vedra,A Coruña,15880,881866995,CEIP,42.77323532104492,-8.425551414489746,Pública,Non,Si
